date,headline,website,headline_processed
2022-01-01,Tech Mahindra acquires IT company Allyis for $125million,TOI,tech mahindra acquires it company allyis for $125million
2022-01-01,Probe Apple for unfair practices: CCI,TOI,probe apple for unfair practices: cci
2022-01-01,"France urges green habits with new car ads, bans on plastic",TOI,"france urges green habits with new car ads, bans on plastic"
2022-01-01,Government asks Apple to make goods worth $50 billion/year in India,TOI,government asks apple to make goods worth $50 billion/year in india
2022-01-02,Hong Kong news outlet to close amid crackdown on dissent,TOI,hong kong news outlet to close amid crackdown on dissent
2022-01-02,"Harvard & dozens of other colleges return to online class, but US schools to be open",TOI,"harvard & dozens of other colleges return to online class, but us schools to be open"
2022-01-03,Hong Kong news site to shut; pro-Beijing lawmakers sworn in,TOI,hong kong news site to shut; pro-beijing lawmakers sworn in
2022-01-03,"Bitcoin at $100,000 or popped by Fed? Analysts give their 2022 views",TOI,"bitcoin at $100,000 or popped by fed? analysts give their 2022 views"
2022-01-03,"Apple may be developing a new, cheaper external monitor for Macs",TOI,"apple may be developing a new, cheaper external monitor for macs"
2022-01-03,"Single camera, multiple cameras: What works better and what doesn’t",TOI,"single camera, multiple cameras: what works better and what doesn’t"
2022-01-03,India’s cycle man is a treasure trove of stories of adventure,TOI,india’s cycle man is a treasure trove of stories of adventure
2022-01-03,Hong Kong news outlet to close amid crackdown on dissent,TOI,hong kong news outlet to close amid crackdown on dissent
2022-01-03,What Apple may be planning for Mac users in 2022,TOI,what apple may be planning for mac users in 2022
2022-01-03,"3 dead as minibus carrying 15 Nepalese workers crashes into truck in UP, 6 injured",TOI,"3 dead as minibus carrying 15 nepalese workers crashes into truck in up, 6 injured"
2022-01-03,Investment mantra: Avoid the doughnut of incompetence,TOI,investment mantra: avoid the doughnut of incompetence
2022-01-03,"Tablet for students: Best options from Lenovo, Samsung, Panasonic & more",TOI,"tablet for students: best options from lenovo, samsung, panasonic & more"
2022-01-04,"Apple AirPods are ‘back’ with a bang, here’s how",TOI,"apple airpods are ‘back’ with a bang, here’s how"
2022-01-04,Japanese shares track Wall Street's record highs in strong start to 2022,TOI,japanese shares track wall street's record highs in strong start to 2022
